Municipio,An~o,Poblacion
San Juan,1960,451658
San Juan,1970,463242
San Juan,1980,434849
San Juan,1990,437745
San Juan,2000,434374
San Juan,2010,395326
San Lorenzo,1899,13433
San Lorenzo,1910,14278
San Lorenzo,1920,18136
San Lorenzo,1930,23479
San Lorenzo,1935,25408
San Lorenzo,1940,26627
San Lorenzo,1950,29248
San Lorenzo,1960,27950
San Lorenzo,1970,27755
San Lorenzo,1980,32428
San Lorenzo,1990,35163
San Lorenzo,2000,40997
San Lorenzo,2010,41058
San Sebastián,1899,16412
San Sebastián,1910,18904
San Sebastián,1920,22049
San Sebastián,1930,25691
San Sebastián,1935,27150
San Sebastián,1940,30266
San Sebastián,1950,35376
San Sebastián,1960,33451
San Sebastián,1970,30157
San Sebastián,1980,35690
San Sebastián,1990,38799
San Sebastián,2000,44204
San Sebastián,2010,42430
Santa Isabel,1899,4858
Santa Isabel,1910,6959
Santa Isabel,1920,7257
Santa Isabel,1930,8886
Santa Isabel,1935,10196
Santa Isabel,1940,11468
Santa Isabel,1950,13478
Santa Isabel,1960,14542
Santa Isabel,1970,16056
Santa Isabel,1980,19854
Santa Isabel,1990,19318
Santa Isabel,2000,21665
Santa Isabel,2010,23274
Toa Alta,1899,7908
Toa Alta,1910,9127
Toa Alta,1920,10505
Toa Alta,1930,11696
Toa Alta,1935,13001
Toa Alta,1940,13371
Toa Alta,1950,14155
Toa Alta,1960,15711
Toa Alta,1970,18964
Toa Alta,1980,31910
Toa Alta,1990,44101
Toa Alta,2000,63929
Toa Alta,2010,74066
Toa Baja,1899,4030
Toa Baja,1910,6254
Toa Baja,1920,7121
Toa Baja,1930,9865
Toa Baja,1935,10161
Toa Baja,1940,11410
Toa Baja,1950,15761
Toa Baja,1960,19698
Toa Baja,1970,46384
Toa Baja,1980,78246
Toa Baja,1990,89454
Toa Baja,2000,94085
Toa Baja,2010,89609
Trujillo Alto,1899,5683
Trujillo Alto,1910,6345
Trujillo Alto,1920,7470
Trujillo Alto,1930,9576
Trujillo Alto,1935,10664
Trujillo Alto,1940,11726
Trujillo Alto,1950,13605
Trujillo Alto,1960,18251
Trujillo Alto,1970,30669
Trujillo Alto,1980,51389
Trujillo Alto,1990,61120
Trujillo Alto,2000,75728
Trujillo Alto,2010,74842
Utuado,1899,43860
Utuado,1910,41054
Utuado,1920,35135
Utuado,1930,37434
Utuado,1935,43352
Utuado,1940,42531
Utuado,1950,46625
Utuado,1960,40449
Utuado,1970,35494
Utuado,1980,34505
Utuado,1990,34980
Utuado,2000,35336
Utuado,2010,33149
Vega Alta,1899,6107
Vega Alta,1910,8134
Vega Alta,1920,9970
Vega Alta,1930,12333
Vega Alta,1935,13463
Vega Alta,1940,14329
Vega Alta,1950,16521
Vega Alta,1960,17603
Vega Alta,1970,22810
Vega Alta,1980,28696
Vega Alta,1990,34559
Vega Alta,2000,37910
Vega Alta,2010,39951
Vega Baja,1899,10305
Vega Baja,1910,12831
Vega Baja,1920,15756
Vega Baja,1930,20406
Vega Baja,1935,22972
Vega Baja,1940,23105
Vega Baja,1950,28925
Vega Baja,1960,30189
Vega Baja,1970,35327
Vega Baja,1980,47115
Vega Baja,1990,55997
Vega Baja,2000,61929
Vega Baja,2010,59662
Vieques,1899,6642
Vieques,1910,10425
Vieques,1920,11651
Vieques,1930,10582
Vieques,1935,10037
Vieques,1940,10362
Vieques,1950,9228
Vieques,1960,7210
Vieques,1970,7767
Vieques,1980,7662
Vieques,1990,8602
Vieques,2000,9106
Vieques,2010,9301
Villalba,1899,--
Villalba,1910,--
Villalba,1920,13040
Villalba,1930,11847
Villalba,1935,12867
Villalba,1940,12871
Villalba,1950,14972
Villalba,1960,16239
Villalba,1970,18733
Villalba,1980,20734
Villalba,1990,23559
Villalba,2000,27913
Villalba,2010,26073
Yabucoa,1899,13905
Yabucoa,1910,17338
Yabucoa,1920,19623
Yabucoa,1930,21914
Yabucoa,1935,24464
Yabucoa,1940,27438
Yabucoa,1950,28810
Yabucoa,1960,29782
Yabucoa,1970,30165
Yabucoa,1980,31425
Yabucoa,1990,36483
Yabucoa,2000,39246
Yabucoa,2010,37941
Yauco,1899,27119
Yauco,1910,31504
Yauco,1920,25848
Yauco,1930,27787
Yauco,1935,30115
Yauco,1940,30533
Yauco,1950,33708
Yauco,1960,34780
Yauco,1970,35103
Yauco,1980,37742
Yauco,1990,42058
Yauco,2000,46384
Yauco,2010,42043
